selection,product,signal,family,strategy,window,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades,entry_ma,exit_ma,breakout,exit_rsi,rsi_low,reclaim,hold,entry_score,exit_score
ROBUST_OVERALL,SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,5Y,2021-07-20,2026-07-20,92.2038157687131,932038.157687131,1.4857417598963423,0.4895128525597817,2.102516327284452,-0.2711647690173763,5.479110598623288,0.28286852589641437,9.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,10Y,2016-07-20,2026-07-20,416.0529504354336,4170529.5043543363,0.8312556518225451,0.4468217173905845,1.5768252033929981,-0.3766629307135796,2.2068953009199754,0.29446876243533626,19.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,MAX,2010-03-11,2026-07-20,438.35925274483395,4393592.527448339,0.4517236543754999,0.4143406265196575,1.1060618629241703,-0.5368918963278162,0.841367987606365,0.2819640252795333,29.0,,,,,5.0,10.0,40.0,,
BEST_MA_REGIME,SOXL,SMH,MA_REGIME,MA63_EXIT250,1Y,2025-07-21,2026-07-20,4.656214791163032,56562.14791163032,4.695397028072951,1.2555705734973974,2.0198914811164177,-0.5832052419746299,8.051019932837308,1.0,0.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,SOXL,SMH,MA_REGIME,MA63_EXIT250,3Y,2023-07-20,2026-07-20,7.995234081603369,89952.3408160337,1.08783256847439,1.0188232449878918,1.2390946463727615,-0.6640480121179304,1.638183608147295,0.9175531914893617,5.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,SOXL,SMH,MA_REGIME,MA63_EXIT250,5Y,2021-07-20,2026-07-20,18.023469718910754,190234.69718910754,0.806663625029864,0.9062627245432233,1.1094195918544978,-0.6640480121179305,1.214767020319919,0.7880478087649403,42.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,SOXL,SMH,MA_REGIME,MA63_EXIT250,10Y,2016-07-20,2026-07-20,386.20454477566693,3872045.4477566695,0.8176694977300021,0.8228903570641098,1.1418577767499491,-0.6640480121179305,1.2313409313915533,0.8416235575009948,54.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,SOXL,SMH,MA_REGIME,MA63_EXIT250,MAX,2010-03-11,2026-07-20,608.4784709791214,6094784.709791214,0.481121024155319,0.7264509359176078,0.9071890434762779,-0.7298857520484179,0.6591730593521755,0.8118619348565873,116.5,63.0,250.0,,,,,,,
BEST_BREAKOUT,SOXL,SMH,BREAKOUT_RSI,B20_RSI92,1Y,2025-07-21,2026-07-20,2.106833573395866,31068.33573395866,2.120896857310629,0.9584241481883039,1.6697225412001282,-0.5832052419746299,3.636621732221828,0.5338645418326693,22.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,SOXL,SMH,BREAKOUT_RSI,B20_RSI92,3Y,2023-07-20,2026-07-20,2.455386637876246,34553.86637876246,0.5151431421237767,0.7556790164545873,0.9332330692792147,-0.6647578737142837,0.7749334945751808,0.44813829787234044,57.5,,,20.0,92.0,,,,,
