product,signal,family,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,total_trades,windows,robust_score
SOXL,SMH,BREAKOUT_RSI,B40_RSI85,0.06329805867746985,-0.013770909948937482,0.37871143247886185,0.27275529877944044,0.09255987161016302,-0.85754490694852,0.309406967904095,690.0,4,0.5325746738094163
SOXL,SMH,BREAKOUT_RSI,B50_RSI85,0.059618626826128174,-0.027310926608205777,0.3740360633952855,0.23021935517940045,0.09156857928217403,-0.8910317492768126,0.3001485586321745,673.0,4,0.5095040181682068
SOXL,SMH,BREAKOUT_RSI,B90_RSI85,0.05542246041469001,-0.003384807007270285,0.36180608126577507,0.2710713983870057,0.08103893153467137,-0.8399186429305309,0.28145331457710565,614.0,4,0.5089204588935627
SOXL,SMH,BREAKOUT_RSI,B126_RSI85,0.029774645543930722,-0.02111317531431023,0.30614479321150273,0.2378825780023008,0.04450917975746978,-0.8655556635947279,0.26448802221785495,584.0,4,0.3995680298123926
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,0.8341096732169674,0.3074219330158461,2.0182535730032916,1.1545941737441627,3.8906913221762323,-0.3639715833284156,0.28866864416587534,67.0,4,5.460613082947255
USD,SOXX,PULLBACK_RECLAIM,RSI5_R10_H40,0.5479375595110921,0.22949671630296997,1.527560870677875,0.8918581869348485,2.191768718072961,-0.5269425586906886,0.25701412416390945,60.0,4,4.0570424936360325
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H20,0.45015382347612465,0.16812151056648705,1.7022636549827368,0.8675302511935766,2.0165395019360544,-0.47725522299647605,0.15944409678765123,76.0,4,4.019746475000429
USD,SOXX,PULLBACK_RECLAIM,RSI5_R20_H40,0.4331629335039475,0.19959941638871292,1.5352367045419486,0.9461652969568759,2.0413969724970977,-0.3920132238263523,0.20442219440967876,49.0,4,3.9129747094726217
USD,SMH,PULLBACK_RECLAIM,RSI5_R20_H40,0.41626792617829733,0.1583476260365737,1.5883321554017147,0.7840352790861401,2.044123175856242,-0.5289273653452513,0.18191141704908914,46.0,4,3.9076379640477783
USD,SMH,MA_REGIME,MA63_EXIT250,0.7320204454169326,0.3472671067178048,1.2116355921361128,0.8644301795616112,1.3352862292380339,-0.5482123827747792,0.8148356831329675,304.0,4,2.9366629196234517
