product,signal,family,strategy,roll_years,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2021-08-01,2024-08-01,1.294592275500388,22945.92275500388,0.31945452737607694,0.43264706492953964,0.8570358180652923,-0.4276478543931094,0.7470036949663327,0.3655629139072848,42.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2021-11-01,2024-11-01,1.5900086435158887,25900.086435158886,0.3733052209799339,0.4719308059024226,0.9080934259016812,-0.5385324778466708,0.693189800683145,0.3531746031746032,40.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2022-02-01,2025-02-01,2.245297366503194,32452.97366503194,0.4828496623286098,0.4659771674717208,1.0777269814621575,-0.5385324778466708,0.89660267893088,0.351925630810093,37.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2022-05-01,2025-05-01,2.126965529847254,31269.65529847254,0.464530987707074,0.4648505980448336,1.052454444626232,-0.5385324778466707,0.8625867646172565,0.34794156706507307,36.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2022-08-01,2025-08-01,3.365540945866038,43655.40945866038,0.6364846142631535,0.48657124232178456,1.255201657693917,-0.5385324778466707,1.1818871478432382,0.41114058355437666,43.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2022-11-01,2025-11-01,4.1868759274057945,51868.75927405794,0.7348077888994313,0.49843186377233484,1.3542439144302336,-0.5385324778466707,1.3644632758966926,0.4581673306772908,51.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2023-02-01,2026-02-01,4.48874340666446,54887.4340666446,0.7693025292922253,0.47634201385455904,1.4364026968144672,-0.5385324778466708,1.4285164979618157,0.43882978723404253,52.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,2023-05-01,2026-05-01,5.702379538438786,67023.79538438785,0.8886009422462045,0.4783715057953305,1.5694154561329758,-0.5385324778466709,1.6500415087299596,0.4297082228116711,58.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2007-02-01,2012-02-01,-0.3494313796702718,6505.686203297282,-0.08232640654225531,0.3373650811970913,-0.0852706154981456,-0.5771193192399724,-0.14265058160013375,0.4020618556701031,52.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2007-05-01,2012-05-01,-0.3777328982817605,6222.671017182395,-0.09037860079329052,0.33844051808391024,-0.1099850263478771,-0.5771193192399728,-0.15660297234948403,0.41283676703645006,50.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2007-08-01,2012-08-01,-0.5606272985356979,4393.727014643021,-0.15144534410289778,0.3512136207331627,-0.2911440944877965,-0.612035382582194,-0.24744540661022854,0.4247226624405705,49.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2007-11-01,2012-11-01,-0.5803332666997822,4196.667333002178,-0.15941640713687155,0.35205151989953565,-0.3163914106698352,-0.6120353825821943,-0.26046926644059254,0.4357142857142857,50.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2008-02-01,2013-02-01,-0.5432759240031114,4567.240759968886,-0.14506955871192717,0.3562541360358709,-0.26109155361000197,-0.6120737663328377,-0.237013194636805,0.4587301587301587,51.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2008-05-01,2013-05-01,-0.4854226002059666,5145.773997940334,-0.12452388149713634,0.36173603164226376,-0.18607168606057684,-0.6120737663328377,-0.2034458726163112,0.48610007942811756,55.5
