strategy,family,asset_count,median_asset_score,median_cagr,median_sharpe,median_calmar,median_late_cagr,median_stress_cagr,worst_maxdd,worst_late_cagr,median_trades,median_exposure,robust_score,actual_asset_count,actual_median_cagr,actual_median_sharpe,actual_median_calmar,actual_positive_share,actual_score,final_score,universe,leverage
PRICE_SMA100_H2,price_hysteresis,3,0.6974452554744525,0.07200323981196699,0.43516702825407444,0.08037480690187146,0.2041187914947955,0.018701359176131138,-0.9126537118142763,0.1710837063965629,54.0,0.683912222060747,0.7118705035971225,3,0.24723896138818668,0.7201808161286563,0.3182446732774243,1.0,0.9168674698795181,0.7528698968536016,index,3
RSI2_10_REC3_XR70_T20,pullback_reclaim,3,0.8848148148148147,0.06249981934324356,0.4975819216986624,0.17601817389631844,0.012577855986485531,0.025179650403014397,-0.6402737987167919,0.004382192893351622,201.0,0.0834790904754333,0.7949640287769784,3,0.05118057637546647,0.39038931656343484,0.11765281693445394,1.0,0.5750000000000001,0.7509712230215827,index,3
MHT_VOL_E4_VR125,volatility_managed_trend,3,0.6296992481203008,0.0832797722374361,0.4081317841774682,0.09298519053442791,0.2177749178850139,0.02268190210688137,-0.9223214271177744,0.1577938479821619,92.0,0.6727219880831274,0.6861510791366907,3,0.2006268399711122,0.7101374463000444,0.37168264722102246,1.0,0.9132530120481928,0.7315714657189912,index,3
BRK20_F100_XMA50,breakout,3,0.7007518796992481,0.07802267414925557,0.40411643175636236,0.10643162673564092,0.18162680696800382,0.023104855499514354,-0.9199102261889796,0.07057872987887404,109.0,0.5478854817613719,0.7133093525179857,3,0.15174252355369044,0.5902539676682577,0.25966471640923355,1.0,0.7903614457831325,0.728719771171015,index,3
MHT_VOL_E5_VR100,volatility_managed_trend,3,0.6796992481203008,0.08068428524945648,0.4015597836707773,0.08840866151052658,0.16890077169758344,0.029265840938913268,-0.9205536717204668,0.12359182186201179,63.0,0.5986048539456474,0.6895683453237411,3,0.17023379718037135,0.652327814246401,0.32784314661124603,1.0,0.8509036144578314,0.7218353991505592,index,3
MHT_VOL_E5_VR125,volatility_managed_trend,3,0.6815789473684211,0.08333430220765647,0.4170218836440477,0.08995928995897788,0.16628646871129016,0.02956774267600437,-0.926355713186015,0.12131638446469029,77.0,0.637116698154338,0.6841726618705035,3,0.21600698940427354,0.6374257775335317,0.30394857772921385,1.0,0.8614457831325301,0.7196272861229088,index,3
RSI2_10_REC3_XR70_T10,pullback_reclaim,3,0.8672932330827068,0.0588703204088441,0.4827589137320826,0.179516377007577,0.004533214451285739,0.02152720389068441,-0.703378973883674,-0.006753275421252258,202.0,0.08268405151852441,0.7618705035971223,3,0.05144130423018445,0.39093253790965704,0.11788059680059107,0.6666666666666666,0.5470883534136546,0.7189140735604288,index,3
RSI2_5_REC3_XR70_T20,pullback_reclaim,3,0.7913533834586465,0.036937607281064544,0.4030469490525233,0.16904609079673763,0.012782503884413376,0.01767575823979839,-0.41017043717684454,-0.010892464372449173,111.0,0.0409824153466066,0.7694244604316548,3,0.028806481298274678,0.282148464935433,0.08262201188336486,1.0,0.5153614457831325,0.7186118575019503,index,3
MHT_E5_X3,multi_horizon_trend,3,0.7199248120300752,0.08636997171303684,0.4201232435679823,0.10210695952087544,0.1231913329370975,0.02594353875631983,-0.9252029289152157,0.10470247340801042,108.0,0.6340648161604417,0.6920863309352518,3,0.1628025535983828,0.613875913778555,0.2800090615816382,1.0,0.8150602409638553,0.7166811129409726,index,3
PRICE_SMA100_H0,price_hysteresis,3,0.6578947368421052,0.0882002638665409,0.4416059328918224,0.10079445695958686,0.19747431945453386,0.02081014742794829,-0.9535277438758132,0.11758449040302343,159.0,0.688853364336579,0.6643884892086331,3,0.23911586952038766,0.6593278973292835,0.29158184294395223,1.0,0.8867469879518072,0.7088601889572679,index,3
RSI2_15_REC3_XR90_T20,pullback_reclaim,3,0.6977443609022557,0.0708306907626155,0.38688673813641694,0.10112908842365806,0.10993187295125306,0.019720025921815987,-0.8442028402271528,0.01907569565633871,209.0,0.2807788198978986,0.6967625899280576,3,0.13523963162241603,0.5382235835512319,0.2253502984117167,1.0,0.7358433734939759,0.7045787466412412,index,3
BRK20_F200_XMA50,breakout,3,0.6116788321167883,0.06233425560067096,0.36574935990718144,0.07927271474131829,0.21195493611977523,0.012829332836558738,-0.9283703863658439,0.058021569926412164,106.0,0.5151867461124836,0.6553956834532374,3,0.16808234035714786,0.6130185789790178,0.3236037310683878,1.0,0.833734939759036,0.6910635347143972,index,3
MA_10_30,ma_crossover,3,0.6266666666666667,0.07422680226817713,0.3824147644403265,0.09313427118269879,0.26640829052900616,0.014166965374906582,-0.9948577917063445,0.12028746564787829,121.0,0.6301409678825752,0.6453237410071944,3,0.1707295285300987,0.599025396089343,0.32635317617673665,1.0,0.8373493975903613,0.6837288723238277,index,3
MHT_E6_X3,multi_horizon_trend,3,0.6345864661654135,0.07095170439396936,0.37926580179677993,0.09273506824801833,0.11440858167151169,0.019892553177540906,-0.8856803292861292,0.08341005120030309,68.0,0.562999564016858,0.65431654676259,3,0.13820352301890226,0.5747253101285175,0.2870775441765975,1.0,0.7828313253012048,0.680019502470313,index,3
MHT_VOL_E4_VR100,volatility_managed_trend,3,0.5962406015037595,0.07181344798033362,0.37868657850339427,0.08273116912720029,0.17157690697824823,0.017581693381911956,-0.9338318586120569,0.13822023380963788,75.0,0.6310129341665456,0.6223021582733813,3,0.1887310829850235,0.69403750974025,0.34497916921893906,1.0,0.8978915662650602,0.6774200398717172,index,3
TSMOM_E4_X2,time_series_momentum,3,0.656390977443609,0.06828903969357802,0.37831113015296236,0.09492793223598474,0.12474457195450683,0.015313000768818918,-0.9233619681525216,0.062201873759853754,90.0,0.5262316523761081,0.6359712230215827,3,0.1655817858938251,0.6013394776302715,0.33368042742654874,1.0,0.8373493975903614,0.6762468579353385,index,3
DD20_5_REC5_T10,drawdown_reclaim,1,0.7459854014598541,0.042032545757988204,0.2997533154718049,0.08220418424999044,0.020741922831077897,0.0075709459849524485,-0.5113188110980262,0.020741922831077897,190.0,0.050405469868023536,0.7338129496402879,3,0.018706857770669494,0.2405364958198811,0.06614227661606438,0.6666666666666666,0.4326305220883534,0.673576464129901,index,3
DD20_5_REC5_T20,drawdown_reclaim,1,0.7459854014598541,0.042032545757988204,0.2997533154718049,0.08220418424999044,0.020741922831077897,0.0075709459849524485,-0.5113188110980262,0.020741922831077897,190.0,0.050405469868023536,0.7338129496402879,3,0.018706857770669494,0.2405364958198811,0.06614227661606438,0.6666666666666666,0.4326305220883534,0.673576464129901,index,3
DD20_5_REC5_T40,drawdown_reclaim,1,0.7459854014598541,0.042032545757988204,0.2997533154718049,0.08220418424999044,0.020741922831077897,0.0075709459849524485,-0.5113188110980262,0.020741922831077897,190.0,0.050405469868023536,0.7338129496402879,3,0.018706857770669494,0.2405364958198811,0.06614227661606438,0.6666666666666666,0.4326305220883534,0.673576464129901,index,3
PRICE_SMA50_H1,price_hysteresis,3,0.5507518796992481,0.0653921075268935,0.35846469267394127,0.07434401448640723,0.24833269741613684,0.006569627701555669,-0.9747925412630325,0.11859768519883884,116.0,0.6552826624037204,0.6097122302158273,3,0.22707425421932936,0.6839988349667966,0.34547495205991924,1.0,0.9111445783132529,0.6699986998353125,index,3
RSI2_10_REC3_XR90_T20,pullback_reclaim,3,0.6843065693430657,0.04207894353595609,0.30360159831508066,0.058326860914662965,0.06867367035888483,0.007450268084182365,-0.7214333649383442,0.016905738548937288,160.0,0.21944484813253887,0.685251798561151,3,0.05697861604506116,0.3466544422129464,0.0851208300325104,1.0,0.5623493975903614,0.6606713183669931,index,3
BRK50_F100_XMA50,breakout,3,0.5933333333333334,0.05573688095692675,0.3363127777913018,0.0793902612134273,0.1657859622179958,0.010499184669265915,-0.8957396902106073,0.049348055016528836,81.0,0.48539456474349657,0.6334532374100719,3,0.13759884767664632,0.5137918904107661,0.21061404269904954,1.0,0.7246987951807228,0.6517023489642021,index,3
RSI2_5_REC3_XR70_T10,pullback_reclaim,3,0.700751879699248,0.028724314791920946,0.3337090829853205,0.13326356013751972,-0.00655253445787185,0.0096829018372111,-0.4848237551697673,-0.010743739552304232,111.0,0.04083708763261154,0.6784172661870504,3,0.028920228435458384,0.28301070059770805,0.08294825850900372,1.0,0.5207831325301204,0.6468904394556645,index,3
PRICE_SMA50_H2,price_hysteresis,3,0.5981751824817518,0.04423868067855463,0.40073525662827764,0.04650664400151147,0.2274030617196232,-0.009075393093055495,-0.9550906930678636,0.11493531862103623,80.0,0.6472896381339922,0.5838129496402877,3,0.20461327313247457,0.6546771937004487,0.33906715191249703,1.0,0.8813253012048192,0.6433154199531941,index,3
RSI2_15_REC5_XR70_T20,pullback_reclaim,3,0.7030075187969925,0.042211462889790496,0.33224816308593574,0.11047256694024883,0.02746200177502378,-0.0013661769805761725,-0.656837015609802,0.023067205258594514,256.0,0.09068449353291673,0.6706834532374101,3,0.02702147661593668,0.23637440917389166,0.10549701507223964,1.0,0.5021084337349397,0.636968449336916,index,3
RSI2_15_REC3_XR90_T10,pullback_reclaim,3,0.6030075187969924,0.05331877572750798,0.3347034685423703,0.07690754589474838,0.09022121885097967,-0.0003912612278100802,-0.8554272123598199,0.012550931686107214,245.0,0.2316523761081238,0.6061151079136692,3,0.11958424518403143,0.5253916857591493,0.18223299906136625,1.0,0.7021084337349397,0.6253137730779234,index,3
RSI2_5_REC3_XR90_T20,pullback_reclaim,3,0.6,0.04660202363120236,0.32016338749183204,0.07310064466895307,0.03167389898092621,0.02273782271543423,-0.7104074408458287,-0.03927625825123904,94.0,0.12759773288766169,0.6553956834532375,3,0.04507882683451414,0.3122005812815778,0.0673436356195641,0.6666666666666666,0.4994979919678714,0.6242161451561643,index,3
BRK63_F200_XMA50,breakout,3,0.5478102189781022,0.04184134597496403,0.31891951286729125,0.05056411752068585,0.15589794340282648,0.0030852464393964496,-0.9225996576772463,0.031809161112233975,72.0,0.43816305769510244,0.5859712230215828,3,0.1392878707490104,0.558270950152633,0.24173258639354026,1.0,0.7554216867469878,0.6198613157666638,index,3
BRK50_F200_XMA50,breakout,3,0.5396296296296297,0.046762895903621926,0.30684327484906154,0.06145788147181408,0.20108208049002552,0.0036919303303395434,-0.948310144576637,0.03902429881174574,76.0,0.45676500508647,0.5841726618705037,3,0.1547823153775416,0.5392959257764718,0.23049650944411956,1.0,0.7596385542168674,0.6192658403397765,index,3
BRK20_F200_XLOW10,breakout,3,0.5875912408759124,0.03810089862437671,0.3208857994634641,0.042679642857751075,0.1528005761183926,-0.006145045887918088,-0.8927183095548604,0.07619676620219984,150.0,0.42610085743351256,0.5816546762589928,3,0.13051873134297676,0.5446462175339781,0.26261781942820533,1.0,0.7524096385542168,0.6158056687180377,index,3
RSI2_15_REC3_XR90_T5,pullback_reclaim,3,0.7973684210526316,0.059307915095536234,0.3872882405076336,0.1429010404612047,-0.006463631158104444,0.0017131214645664805,-0.8973673784913943,-0.013141410718848001,286.0,0.1716320302281645,0.6377697841726618,3,0.0344710385625111,0.2700466460777463,0.09361557880601347,1.0,0.5277108433734939,0.6157579960128283,index,3
RSI2_15_REC3_XR70_T5,pullback_reclaim,3,0.786842105263158,0.049297388164888156,0.3958041105121014,0.13454625715589766,-0.006785269465631627,-0.004307357706440196,-0.7545148218115183,-0.06220709704316363,298.0,0.10158407208254615,0.658273381294964,3,0.020671141037981178,0.21004409395823254,0.0589845086192118,0.6666666666666666,0.4238955823293173,0.6113978215018347,index,3
BRK20_F100_XLOW20,breakout,3,0.5311111111111111,0.06039379473584461,0.3465375136749775,0.07208943119713379,0.19674060374903646,0.006923459287556,-0.9883354007888079,0.06080697093038001,97.0,0.5746257811364627,0.5557553956834533,3,0.14470127366612107,0.5958489964846087,0.281465211614656,1.0,0.7966867469879517,0.6039416659443531,index,3
RSI2_15_REC5_XR70_T10,pullback_reclaim,3,0.6387218045112782,0.04036013313028186,0.311046022408628,0.08534916274910131,0.028796447649142687,-0.0032719337483595456,-0.656837015609802,0.02746200177502378,257.0,0.09039383810492661,0.6275179856115107,3,0.025420982059403574,0.22826811498756566,0.08614735529030254,1.0,0.4882530120481927,0.5996649908988472,index,3
BRK20_F200_XLOW20,breakout,3,0.5285714285714286,0.04932960812125753,0.3127624266752497,0.06681260026237562,0.2303093562858347,-0.001049187371166882,-0.982373481223053,0.033949785613590855,91.0,0.54323499491353,0.560431654676259,3,0.14854248622279687,0.5327399307664202,0.2035506391893781,1.0,0.7382530120481927,0.5959959261506458,index,3
TSMOM_E3_X2,time_series_momentum,3,0.5452554744525547,0.059745203942114466,0.3676063701206486,0.0706556843206311,0.15553315764357345,-0.015583913442188568,-0.9507892647148672,0.09623063663881481,226.0,0.6302862955965702,0.5194244604316547,3,0.1951980983413173,0.6428764206459506,0.3373057967818771,1.0,0.8704819277108433,0.5896359538874925,index,3
BRK50_F100_XLOW20,breakout,3,0.512781954887218,0.049954404001123054,0.31629468485221973,0.06519491320116325,0.1938618251168358,0.005196832303881127,-0.9729529625405477,0.05405761460358338,80.0,0.48510390931550645,0.5356115107913669,3,0.120843166542002,0.5476202261493507,0.24686509899384085,1.0,0.7403614457831325,0.5765614977897201,index,3
BRK126_F100_XMA50,breakout,3,0.5210526315789473,0.036172608564270625,0.2699684286924785,0.060946247156950156,0.12443029944412642,-0.0013597322602603157,-0.8868706301653627,0.02867722350749169,62.0,0.38947827350675773,0.5492805755395683,3,0.10685658198763393,0.46508666922072833,0.14942778341964694,1.0,0.6725903614457831,0.5739425327208113,index,3
BRK126_F200_XMA50,breakout,3,0.5146616541353384,0.0356654175522686,0.27326166591186,0.06009169477601429,0.12443029944412642,-0.0013079875301406085,-0.8869825563101262,0.02867722350749169,61.0,0.3800319720970789,0.5464028776978417,3,0.10685658198763393,0.46508666922072833,0.14942778341964694,1.0,0.6725903614457831,0.57164037444743,index,3
RSI2_15_REC10_XR90_T20,pullback_reclaim,3,0.5240601503759399,0.03458747787421523,0.2644713974908123,0.0648858386610873,0.09403291779950407,-0.005964848610337636,-0.7724882097409015,0.045096671826051704,170.0,0.18282226420578404,0.5701438848920863,3,0.05683891274754549,0.34113934225502485,0.13694256315225212,1.0,0.5762048192771084,0.5713560717690908,index,3
BRK63_F100_XMA50,breakout,3,0.4849624060150376,0.04648177902633166,0.3057716094449152,0.061426392729406316,0.12975305212973343,0.003822071719995712,-0.9065837328734571,0.03326430613270848,75.0,0.46083418107833163,0.529136690647482,3,0.12214740388604794,0.5177241514306926,0.1981795141058658,1.0,0.7141566265060241,0.5661406778191904,index,3
BRK63_F200_XLOW20,breakout,3,0.5052631578947369,0.04655609092636359,0.30764475009072373,0.06267784689702537,0.19115263759905798,0.005690691993576413,-0.9745327700350348,0.035378706145982264,70.0,0.43772707455311727,0.531294964028777,3,0.11064191725948036,0.5124921739739036,0.19480990273271728,1.0,0.6990963855421687,0.5648552483314554,index,3
BRK50_F200_XLOW20,breakout,3,0.499624060150376,0.04504473985664448,0.3005135382736817,0.06205316730465708,0.22035206569133048,0.0023776712510945597,-0.982469864537622,0.043687524539623324,76.0,0.4585089376544107,0.5363309352517986,3,0.09273066177265576,0.4639900639853541,0.18943532061711094,1.0,0.6698795180722891,0.5630406518158968,index,3
RSI2_5_REC3_XR70_T5,pullback_reclaim,3,0.6451127819548872,0.024175774430006625,0.30713191928526073,0.08932028924242315,-0.029048159815976082,0.004953470763284784,-0.589959701626066,-0.03952744598660429,111.0,0.03793053335271036,0.6061151079136691,3,0.01434529008270724,0.17800780053796683,0.031243338115685373,0.6666666666666666,0.3775100401606426,0.5603940943630639,index,3
PRICE_SMA50_H3,price_hysteresis,3,0.5281481481481481,0.029749943238748022,0.3781459601952639,0.03202782029847031,0.12659526071387517,-0.020175505233856694,-0.9288781740844512,0.07755782290702595,60.0,0.6525214358378143,0.4892086330935252,3,0.16318970103330876,0.5741121961304848,0.21818991171754964,1.0,0.7795180722891565,0.5472705209326515,index,3
RSI2_15_REC5_XR90_T20,pullback_reclaim,3,0.4733082706766917,0.03834842502882507,0.2778345871257623,0.05396208659086935,0.07864726704808978,-0.010120746142792902,-0.8151240226814598,0.010396941118161696,205.0,0.2562127597732888,0.5,3,0.09985996329668678,0.4530820570289729,0.16639702621432959,1.0,0.6686746987951807,0.5337349397590362,index,3
BRK20_F100_XLOW10,breakout,3,0.4974452554744526,0.025614266566320376,0.2996071143964517,0.02900601711648606,0.13979801724807106,-0.0258435781682258,-0.9168618843763954,0.10415133071721572,157.0,0.4526958290946083,0.47266187050359715,3,0.14750099873302913,0.56420347377034,0.2378731513062887,1.0,0.7656626506024097,0.5312620265233596,index,3
RSI2_10_REC5_XR70_T20,pullback_reclaim,3,0.531578947368421,0.02597479457428853,0.24770578248731737,0.06907287474262655,0.014686837860095503,-0.007776020000840322,-0.656837015609802,-0.004672909345519782,179.0,0.06408952187182096,0.5498201438848921,3,0.02104270880322945,0.20415214830361544,0.04105042307955588,1.0,0.4376506024096386,0.5273862355898414,index,3
