product,signal,strategy,window,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
USD,SMH,PB_RSI10_R10_H40,5Y,0.720921296781672,1.335804794323682,-0.488260582270028,1.4765093127730167,0.46215139442231074,13.0,149323.18605962512
USD,SMH,PB_RSI10_R10_H40,10Y,0.40770945615195453,0.9807145640478102,-0.6105335744535377,0.6677920317762667,0.46358933545563075,27.0,302694.77028394886
USD,SMH,PB_RSI10_R10_H40_TS8,MAX,0.14278256234417253,0.569749016750977,-0.655972365602645,0.2176655143284847,0.3930978149887686,88.0,133776.5686250662
USD,SMH,PB_RSI10_R10_H40_TS8,3Y,0.3163135134120467,0.801270369459684,-0.5894160226644383,0.5366557766484876,0.4920212765957447,18.5,22708.23744985581
USD,SMH,PB_RSI10_R10_H40_TS8,5Y,0.4369374445562906,1.0312370659542538,-0.5894160226644387,0.7413056784257867,0.42151394422310756,24.5,60822.67869736387
USD,SMH,PB_RSI10_R10_H40_TS8,10Y,0.30882645749276616,0.884779512039754,-0.5894160226644385,0.5239532785293567,0.4222045364106645,47.5,146411.0756485242
USD,SMH,PB_RSI10_R10_H40_TS12,MAX,0.19032281265239104,0.6659931050896646,-0.5135628578263207,0.3705930243046419,0.41923626710230755,65.0,295364.56556749396
USD,SMH,PB_RSI10_R10_H40_TS12,3Y,0.4727300516806805,0.9721774194039997,-0.4882605822700279,0.968192127004923,0.5332446808510638,15.5,31746.86353819839
USD,SMH,PB_RSI10_R10_H40_TS12,5Y,0.5784980279356706,1.1735599706570918,-0.4882605822700281,1.1848141114445678,0.4541832669322709,19.5,97115.1096144519
USD,SMH,PB_RSI10_R10_H40_TS12,10Y,0.35187272843113515,0.9207361867045283,-0.5135628578263207,0.6851600014854136,0.45005968961400716,38.5,202171.98006741417
USD,SMH,PB_RSI10_R10_H40_TS16,MAX,0.22188935669379273,0.7288459249095621,-0.4960576797754622,0.4473055568744137,0.4261792934449663,54.0,491191.1104877705
USD,SMH,PB_RSI10_R10_H40_TS16,3Y,0.6892379087739449,1.2024022412444042,-0.4882605822700279,1.4116189874872356,0.5425531914893617,10.5,47803.348300472426
USD,SMH,PB_RSI10_R10_H40_TS16,5Y,0.7148069857820221,1.3294763396219558,-0.488260582270028,1.4639866737935947,0.4605577689243028,13.5,146699.6550011052
USD,SMH,PB_RSI10_R10_H40_TS16,10Y,0.4290133309178761,1.0338805894161454,-0.4919070681503628,0.8721430503753977,0.4564265817747712,28.5,351605.96885278093
USD,SMH,PB_RSI10_R10_H50,MAX,0.3004147205109753,0.8652183902192212,-0.5747681571216539,0.5226711271121972,0.49785583010006124,49.5,1647785.2156611783
USD,SMH,PB_RSI10_R10_H50,3Y,0.8520849312404708,1.3543348283348318,-0.4738796583506609,1.7981040465128932,0.5664893617021277,8.5,62912.089430776134
USD,SMH,PB_RSI10_R10_H50,5Y,0.7686976319872201,1.373062497608676,-0.47387965835066126,1.6221367987447977,0.4940239043824701,12.0,171141.05703567597
USD,SMH,PB_RSI10_R10_H50,10Y,0.5150074397160809,1.1269288319092714,-0.5354667276734129,0.9617916727595252,0.5192996418623159,26.0,629703.5388432854
USD,SMH,PB_RSI10_R10_H50_TS8,MAX,0.15172010894268784,0.5820390367930226,-0.7130456881823417,0.21277754210875982,0.4510925056156831,96.0,155642.08265652135
USD,SMH,PB_RSI10_R10_H50_TS8,3Y,0.31639176149135073,0.7998942347621313,-0.6201039759740511,0.5102237265845083,0.5013297872340425,19.0,22712.26592496178
USD,SMH,PB_RSI10_R10_H50_TS8,5Y,0.40262469953439495,0.9674597791166916,-0.620103975974051,0.6492857893742053,0.44621513944223107,25.5,53925.21758307877
USD,SMH,PB_RSI10_R10_H50_TS8,10Y,0.2935608545076984,0.8396512889455446,-0.620103975974051,0.4734058575363543,0.47512932749701553,50.5,130245.71821560299
USD,SMH,PB_RSI10_R10_H50_TS12,MAX,0.2417634627461014,0.7672567081272489,-0.5752584602549056,0.4202692866767616,0.4841739840718807,65.0,672069.5393248572
USD,SMH,PB_RSI10_R10_H50_TS12,3Y,0.5427798818902938,1.0516350227598987,-0.532556009945674,1.0191977402445664,0.5518617021276596,15.0,36468.92393170055
USD,SMH,PB_RSI10_R10_H50_TS12,5Y,0.5842532457782745,1.1690552425683622,-0.5325560099456738,1.0970738004400222,0.48446215139442234,19.5,98891.33822603234
USD,SMH,PB_RSI10_R10_H50_TS12,10Y,0.40499990499950855,0.9964402857229584,-0.5325560099456739,0.7604832119739343,0.5053720652606446,38.5,296934.61585685593
USD,SMH,PB_RSI10_R10_H50_TS16,MAX,0.2656194990273526,0.8089916159397376,-0.5747681571216539,0.46213328928577424,0.49418011027159486,55.0,972769.9873746454
USD,SMH,PB_RSI10_R10_H50_TS16,3Y,0.8411161912791798,1.3450183944344518,-0.4738796583506609,1.7749573683046163,0.5638297872340425,9.0,61806.756595779436
USD,SMH,PB_RSI10_R10_H50_TS16,5Y,0.7624135750657688,1.36686799284687,-0.47387965835066126,1.6088759279504636,0.49243027888446217,12.5,168134.1972815468
USD,SMH,PB_RSI10_R10_H50_TS16,10Y,0.44695925066974085,1.0520933578909384,-0.5588630859712871,0.7997652052701588,0.5133306804615997,30.5,398204.2466457578
USD,SMH,PB_RSI10_R10_H60,MAX,0.22440740966571915,0.7032317322039109,-0.684955016957469,0.3276235725121396,0.5190933224423117,43.0,511239.61072480946
USD,SMH,PB_RSI10_R10_H60,3Y,1.0834141783855076,1.5009609892107916,-0.5161940154706502,2.0988507148764266,0.6436170212765957,8.5,89385.46745503088
USD,SMH,PB_RSI10_R10_H60,5Y,0.7419423090604511,1.3148179859969258,-0.5161940154706501,1.4373322565236841,0.5211155378486055,10.5,158630.4010023403
USD,SMH,PB_RSI10_R10_H60,10Y,0.49531133427411556,1.073786532203394,-0.5668595758562647,0.8737813655629394,0.5407879029048945,22.5,552665.8070198989
USD,SMH,PB_RSI10_R10_H60_TS8,MAX,0.15631062463735512,0.5901234246818504,-0.6705775397792592,0.23309850891935552,0.4510925056156831,87.0,168150.4514531915
USD,SMH,PB_RSI10_R10_H60_TS8,3Y,0.5863262666928848,1.1153833744471113,-0.5790482038956508,1.0125690102279388,0.589095744680851,19.5,39627.50347153124
USD,SMH,PB_RSI10_R10_H60_TS8,5Y,0.44992426465452073,1.0151019233657368,-0.5790482038956506,0.7770065801561503,0.48047808764940236,22.5,63609.985042556014
USD,SMH,PB_RSI10_R10_H60_TS8,10Y,0.3373350417657066,0.8973104801308718,-0.5790482038956507,0.5825681514876043,0.4934341424592121,43.5,181507.9164343446
USD,SMH,PB_RSI10_R10_H60_TS12,MAX,0.2030489219010938,0.6787275584182029,-0.6531467998114531,0.3108779250846959,0.4900959771288544,65.0,363168.5105222795
USD,SMH,PB_RSI10_R10_H60_TS12,3Y,1.0154405744268464,1.462520863775155,-0.5161940154706502,1.9671684366603865,0.6356382978723404,11.5,80961.53292757597
USD,SMH,PB_RSI10_R10_H60_TS12,5Y,0.7065688446584013,1.2873322995181669,-0.5161940154706504,1.3688047971927237,0.5155378486055777,14.5,143223.2198283599
USD,SMH,PB_RSI10_R10_H60_TS12,10Y,0.447449460234443,1.0387721227806503,-0.5161940154706502,0.8668241917265778,0.5232789494627935,33.5,399551.6060632375
USD,SMH,PB_RSI10_R10_H60_TS16,MAX,0.1904898971589013,0.6433958720003259,-0.6597990424784267,0.28870896272197866,0.5086787829283235,53.0,296171.28275817854
USD,SMH,PB_RSI10_R10_H60_TS16,3Y,1.0834141783855076,1.5009609892107916,-0.5161940154706502,2.0988507148764266,0.6436170212765957,8.5,89385.46745503088
USD,SMH,PB_RSI10_R10_H60_TS16,5Y,0.7419423090604511,1.3148179859969258,-0.5161940154706501,1.4373322565236841,0.5211155378486055,10.5,158630.4010023403
USD,SMH,PB_RSI10_R10_H60_TS16,10Y,0.42464641994066343,0.9941455277425527,-0.5886748238917927,0.7213599133274975,0.5328292877039396,27.5,341036.819340034
USD,SMH,PB_RSI10_R15_H20,MAX,0.07107612368003102,0.3918540154346364,-0.5369989369551784,0.13235803423194395,0.261384521135389,64.0,37973.87398230704
