product,signal,strategy,start,end,years,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
SOXL,SMH,PB_RSI5_R10_H30_TS12,2019-12-11,2022-12-11,3,0.3432583595540022,1.1237906024474626,-0.23349758537605425,1.4700724163856993,0.18518518518518517,3.5,24236.988458052714
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-03-11,2023-03-11,3,0.2340176563397589,0.8684347682077883,-0.23349758537605436,1.0022273076737258,0.15873015873015872,3.0,18791.615640460088
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-06-11,2023-06-11,3,0.4448735258669225,1.1911958964610572,-0.285091644685293,1.5604579585557814,0.19735099337748344,3.5,30120.019977728574
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-09-11,2023-09-11,3,0.4971259494532969,1.2744241571227446,-0.285091644685293,1.7437408591965728,0.1989389920424403,4.0,33449.072109333465
SOXL,SMH,PB_RSI5_R10_H30_TS12,2020-12-11,2023-12-11,3,0.30826668035580096,0.9729446494063683,-0.2850916446852929,1.0812897750689625,0.16445623342175067,3.5,22344.090468549646
SOXL,SMH,PB_RSI5_R10_H30_TS12,2021-03-11,2024-03-11,3,0.31600411394172645,0.9717943402150849,-0.2850916446852929,1.1084299376453393,0.15894039735099338,3.0,22766.61680065859
SOXL,SMH,PB_RSI5_R10_H30_TS12,2021-06-11,2024-06-11,3,0.455037485057443,1.189785085328877,-0.2850916446852929,1.5961095091360884,0.1986754966887417,4.0,30759.283827066727
SOXL,SMH,PB_RSI5_R10_H30_TS12,2021-09-11,2024-09-11,3,0.40289769238849704,1.1531242556812746,-0.2850916446852929,1.4132216776582418,0.1419098143236074,3.5,27536.651582746726
SOXL,SMH,PB_RSI5_R10_H30_TS12,2021-12-11,2024-12-11,3,0.5684047994039199,1.3945390303440508,-0.19189882336913078,2.962002525208576,0.15915119363395225,4.0,38443.5276523964
SOXL,SMH,PB_RSI5_R10_H30_TS12,2022-03-11,2025-03-11,3,0.5702832499328669,1.396406569534691,-0.19189882336913078,2.9717912800115887,0.1595744680851064,4.0,38443.5276523964
SOXL,SMH,PB_RSI5_R10_H30_TS12,2022-06-11,2025-06-11,3,0.6772958289537838,1.5260201485736462,-0.214630233134664,3.155640373035576,0.17420212765957446,4.5,46801.93058710723
SOXL,SMH,PB_RSI5_R10_H30_TS12,2022-09-11,2025-09-11,3,0.814219279100229,1.6891022701894578,-0.214630233134664,3.793590805957746,0.199203187250996,5.0,59291.1252988838
SOXL,SMH,PB_RSI5_R10_H30_TS12,2022-12-11,2025-12-11,3,0.814219279100229,1.6891022701894578,-0.214630233134664,3.793590805957746,0.199203187250996,5.0,59291.1252988838
