product,signal,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,trades,score
SOXL,SMH,PB_RSI5_R15_H30_TS16,0.5822488292942346,0.253316723497254,1.41454547789238,0.8410874439440388,1.758495917468375,-0.6326805277188949,0.1722016034548634,52.0,3.509971618095392
SOXL,SMH,HYB_F63_L7_B35,1.0009488282299879,0.42158710224200147,1.4494361011175574,0.9413920909682297,1.8617944905052006,-0.6615619692538848,0.5296315683355421,127.10000000000001,3.507372165485816
SOXL,SMH,PB_RSI7_R10_H40_TS8,0.9095949900406733,0.20816389647317823,1.4398146624052834,0.6451610247113128,2.0291644548382943,-0.8057729694713208,0.36472431008159956,137.5,3.4843513216579947
SOXL,SMH,PB_RSI7_R10_H50_TS8,0.9858581299257516,0.30701031909507814,1.4349616647401828,0.7871152353239412,1.9429524700111847,-0.7838502667907448,0.42663393382300485,155.0,3.478198103129892
SOXL,SOXX,PB_RSI5_R20_H50_TS16,0.6865316735822559,0.29250766293591135,1.3203588963862707,0.8684926235387433,1.7876140985433022,-0.6488219962637639,0.24971179113333897,44.0,3.4713499822822143
SOXL,SMH,PB_RSI5_R10_H60_TS12,0.8016198121063207,0.35596470121694046,1.300702119917263,0.8793731744651598,1.7680364751302773,-0.5317344755376334,0.36890829043555184,70.5,3.4665642392723006
SOXL,SMH,PB_RSI5_R10_H60,0.8079909225729962,0.3685182596198644,1.299132112012506,0.8856554217284808,1.7507221277826241,-0.5833981846922842,0.37567311335636366,53.5,3.4555272250371827
SOXL,SMH,HYB_F50_L7_B35,0.9602417860052985,0.38634823217156744,1.410709859241026,0.8908757148173193,1.8619001267684006,-0.6853683543140858,0.5317393200557586,137.95,3.43850303079954
SOXL,SOXX,PB_RSI5_R5_H60_TS12,0.8801133834726619,0.3409048181937342,1.3551681971675098,0.8197782938090397,1.9561807733161094,-0.7020341328787232,0.45492798323565575,89.0,3.436745953032746
SOXL,SOXX,PB_RSI5_R15_H40_TS8,0.5556452071002355,0.28275071316218714,1.3573297967318614,0.927370734225882,1.6707332494437785,-0.504917566092915,0.17541977973682168,65.0,3.4012810863132037
SOXL,SOXX,PB_RSI5_R5_H60,0.9210547085801359,0.3704864502931817,1.3691028161079797,0.8348991978761046,1.8820012264120072,-0.7871415063550116,0.4690093327473437,63.0,3.395072067135604
SOXL,SMH,HYB_F63_L7_B50,0.9349903279903052,0.4297813379176829,1.3473320739357728,0.9312054457963034,1.5854688516197204,-0.6406890102035487,0.5939834126213193,147.5,3.3804929559634105
SOXL,SOXX,PB_RSI3_R5_H40,0.7582497195241548,0.31408772901773574,1.39185816293304,0.8442075158848568,1.8516100722622932,-0.7499386728966166,0.25934567358651534,56.5,3.3615639786754157
SOXL,SMH,PB_RSI7_R10_H20_TS12,0.7318706632282668,0.18564906879577636,1.4930303969112386,0.6370058431294946,1.833457867294831,-0.7682801574102975,0.23146926268195744,99.0,3.3285642593863316
SOXL,SMH,PB_RSI5_R10_H60_TS16,0.7876364879727658,0.3408571298986174,1.2788421543931492,0.8477710208208264,1.644162427019766,-0.6496596142149305,0.3732855287960771,59.5,3.30537590156743
SOXL,SOXX,PB_RSI3_R5_H40_TS16,0.7282280762256135,0.2826326982307623,1.3725315901811517,0.8114803881184,1.8279440954903814,-0.7137137822166789,0.25776608670923706,64.5,3.294662131816514
SOXL,SMH,PB_RSI5_R15_H50,0.6948694250779134,0.26624970874676945,1.2738461086729846,0.76365759981673,1.6478393190605825,-0.6368239752922431,0.2816991484915887,49.0,3.2457246820611343
SOXL,SOXX,PB_RSI5_R5_H60_TS16,0.8680745775116058,0.31163231120514445,1.3294120554810984,0.7681348978673534,1.8142912396170603,-0.7880230935233495,0.46512111889558183,81.0,3.2415531751675695
SOXL,SMH,PB_RSI5_R15_H50_TS12,0.692547296720829,0.2364589657602032,1.2790772818590213,0.7193770865557565,1.6636679620208796,-0.6044730323501968,0.27735812521481507,68.0,3.2408189983989413
SOXL,SMH,PB_RSI5_R15_H30_TS12,0.5822488292942346,0.2320880642313763,1.41454547789238,0.7962306468694033,1.758495917468375,-0.7220958603633507,0.1722016034548634,54.0,3.2381430891937946
SOXL,SMH,HYB_F40_L7_B50,0.9549738698206368,0.3956554180797953,1.3551406691049,0.8831693298575483,1.7011292502056707,-0.7506765636723656,0.5998286190061981,177.5,3.2248899608148553
SOXL,SMH,PB_RSI10_R5_H30_TS8,0.8054785888685188,0.3286001433335184,1.2722668208194756,0.8186379622669997,1.8315985308082097,-0.7689873225049642,0.452316638737529,185.0,3.222824913861194
SOXL,SOXX,HYB_F63_L5_B35,0.8419573871690831,0.4209033049881603,1.4326492454669675,1.0152246532936773,1.5601443159510593,-0.6615619692538848,0.4366570877821152,130.825,3.207051377235526
SOXL,SMH,HYB_F63_L5_B65,0.8841503288002974,0.46196702828269576,1.2882556473569609,0.9630178163472961,1.4262740634441464,-0.6199021292340294,0.6263123229437788,161.775,3.1862676790292794
SOXL,SOXX,PB_RSI5_R5_H50_TS12,0.7269572986565396,0.35545674862449306,1.2575794619122243,0.8658401320233652,1.517542337002705,-0.6121285592702229,0.3947293244745482,85.5,3.169310206233017
